127.0.0.1 - - [31/May/2023:21:57:11 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [31/May/2023:21:57:14 +0530] "GET /p_9_store_data_in_data_Base/1.jsp HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [31/May/2023:21:57:14 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [31/May/2023:21:57:34 +0530] "GET /p_9_store_data_in_data_Base/1.jsp HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [31/May/2023:22:06:38 +0530] "GET /p_9_store_data_in_data_Base/1.jsp HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [31/May/2023:22:06:42 +0530] "GET /p_9_store_data_in_data_Base/1.jsp HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [31/May/2023:22:06:51 +0530] "GET /p_9_store_data_in_data_Base/1.jsp HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [31/May/2023:22:07:38 +0530] "GET /p_9_store_data_in_data_Base/1.jsp HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [31/May/2023:22:07:41 +0530] "GET /p_9_store_data_in_data_Base/2.jsp?fn=maharshi&ln=patel&user=&pass= HTTP/1.1" 500 3960
0:0:0:0:0:0:0:1 - - [31/May/2023:22:09:09 +0530] "GET /p_9_store_data_in_data_Base/1.jsp HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [31/May/2023:22:09:10 +0530] "GET /p_9_store_data_in_data_Base/2.jsp?fn=&ln=&user=&pass= HTTP/1.1" 500 3960
0:0:0:0:0:0:0:1 - - [31/May/2023:22:09:42 +0530] "GET /p_9_store_data_in_data_Base/2.jsp?fn=&ln=&user=&pass= HTTP/1.1" 500 3960
0:0:0:0:0:0:0:1 - - [31/May/2023:22:09:44 +0530] "GET /p_9_store_data_in_data_Base/2.jsp?fn=&ln=&user=&pass= HTTP/1.1" 500 3960
